                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2103,                0.97631,                 1.4408,                 0.8967,                0.67647,                0.79116,                0.53826,                 1.1733,                 1.0801,                 1.2332,               0.005149,               0.005149,               0.005149
                     51,                 1.2526,                0.94704,                 1.4792,                0.80713,                0.64619,                0.74118,                0.52514,                 1.1791,                 1.1793,                 1.2317,                0.00505,                0.00505,                0.00505
                     52,                 1.2187,                0.92101,                 1.4506,                0.78566,                0.66176,                0.75087,                0.51739,                 1.2229,                 1.1624,                 1.2841,               0.004951,               0.004951,               0.004951
                     53,                 1.2133,                0.91083,                 1.4354,                0.84606,                  0.687,                0.76335,                0.55262,                 1.2033,                 1.0962,                 1.2412,               0.004852,               0.004852,               0.004852
                     54,                  1.204,                0.92521,                 1.4299,                0.80898,                0.75735,                0.78352,                0.55878,                 1.1893,                 1.0822,                  1.231,               0.004753,               0.004753,               0.004753
                     55,                 1.1969,                0.92425,                 1.4223,                0.91023,                0.66176,                0.78523,                0.57171,                 1.1167,                 1.0269,                 1.2061,               0.004654,               0.004654,               0.004654
                     56,                 1.2218,                0.93927,                 1.4404,                0.86277,                0.65441,                0.78153,                0.54163,                 1.2019,                  1.139,                 1.2215,               0.004555,               0.004555,               0.004555
                     57,                 1.2161,                0.93637,                 1.4415,                 0.8916,                0.69853,                0.81153,                0.60258,                 1.0724,                  1.011,                 1.1698,               0.004456,               0.004456,               0.004456
                     58,                 1.1521,                0.88373,                  1.377,                0.85995,                0.67727,                0.78526,                0.53002,                  1.203,                 1.0974,                 1.2021,               0.004357,               0.004357,               0.004357
                     59,                  1.195,                0.88333,                 1.4062,                0.78801,                 0.6833,                0.76816,                0.54811,                 1.1621,                 1.0795,                 1.2148,               0.004258,               0.004258,               0.004258
                     60,                 1.1944,                0.89316,                 1.4039,                0.85609,                0.74361,                0.80158,                0.57026,                 1.1117,                0.99466,                 1.1801,               0.004159,               0.004159,               0.004159
                     61,                 1.1849,                0.89642,                 1.4039,                0.79571,                0.70588,                0.78851,                0.56793,                 1.1373,                 1.0886,                 1.1821,                0.00406,                0.00406,                0.00406
                     62,                 1.1736,                 0.8657,                  1.392,                0.86815,                0.70588,                0.79951,                0.59544,                 1.0411,                0.94968,                 1.1582,               0.003961,               0.003961,               0.003961
                     63,                 1.1741,                0.86366,                 1.3952,                0.91865,                0.74731,                0.81362,                0.59706,                   1.06,                0.97439,                 1.1624,               0.003862,               0.003862,               0.003862
                     64,                 1.1503,                0.84638,                 1.3668,                 0.8949,                0.71324,                0.82945,                0.62363,                 1.0429,                0.92329,                 1.1228,               0.003763,               0.003763,               0.003763
                     65,                 1.1406,                0.84989,                 1.3629,                0.90851,                0.65441,                0.79854,                0.58442,                 1.0707,                0.99771,                 1.1622,               0.003664,               0.003664,               0.003664
                     66,                 1.1163,                0.82624,                 1.3468,                0.87899,                0.69435,                 0.7989,                0.59446,                 1.0518,                0.97466,                 1.1308,               0.003565,               0.003565,               0.003565
                     67,                 1.1241,                0.84149,                 1.3647,                0.92823,                0.64706,                0.80843,                0.60606,                 1.0411,                0.91193,                 1.1403,               0.003466,               0.003466,               0.003466
                     68,                 1.1387,                 0.8187,                 1.3713,                0.88939,                 0.6504,                0.78533,                0.55822,                 1.1315,                 1.0605,                 1.1749,               0.003367,               0.003367,               0.003367
                     69,                 1.1484,                0.83962,                 1.3649,                0.85089,                   0.75,                0.81715,                0.60766,                 1.0489,                0.91253,                 1.1436,               0.003268,               0.003268,               0.003268
                     70,                 1.1311,                0.83125,                 1.3625,                0.86055,                0.73529,                0.81743,                0.59458,                 1.0662,                0.95555,                 1.1666,               0.003169,               0.003169,               0.003169
                     71,                  1.094,                0.82087,                  1.331,                0.91249,                0.69009,                0.81847,                0.60044,                 1.0502,                0.92578,                 1.1267,                0.00307,                0.00307,                0.00307
                     72,                 1.1099,                0.80343,                 1.3454,                 0.8519,                0.69118,                0.78843,                0.57115,                 1.0523,                 1.0314,                 1.1292,               0.002971,               0.002971,               0.002971
                     73,                 1.1094,                0.80866,                 1.3356,                0.87321,                0.71324,                0.79167,                0.58371,                 1.0734,                   1.01,                 1.1585,               0.002872,               0.002872,               0.002872
                     74,                 1.1263,                  0.851,                  1.343,                 0.9225,                0.67647,                0.81485,                0.61879,                0.98951,                0.90728,                  1.116,               0.002773,               0.002773,               0.002773
                     75,                 1.0958,                0.79203,                 1.3168,                0.85038,                0.75223,                0.82331,                0.60967,                 1.0657,                0.97475,                 1.1379,               0.002674,               0.002674,               0.002674
                     76,                 1.1024,                0.78396,                 1.3308,                0.79678,                0.74955,                0.81134,                0.60197,                0.99453,                0.89775,                 1.1185,               0.002575,               0.002575,               0.002575
                     77,                 1.0892,                 0.7516,                 1.3207,                0.89838,                0.69118,                0.81014,                0.61591,                 1.0047,                0.92501,                 1.1182,               0.002476,               0.002476,               0.002476
                     78,                 1.1172,                0.80695,                 1.3358,                0.85753,                0.70588,                0.81534,                0.61878,                0.99189,                  0.959,                 1.0975,               0.002377,               0.002377,               0.002377
                     79,                 1.0452,                0.74136,                 1.2902,                0.87608,                0.77978,                0.83225,                0.62591,                0.97773,                0.86261,                 1.0943,               0.002278,               0.002278,               0.002278
                     80,                 1.0763,                0.76262,                 1.3191,                0.83602,                0.76471,                0.83259,                0.62212,                 0.9837,                0.87875,                 1.0826,               0.002179,               0.002179,               0.002179
                     81,                 1.0589,                0.74919,                 1.3177,                0.87895,                0.74746,                0.83135,                0.62845,                0.95999,                0.86196,                 1.0953,                0.00208,                0.00208,                0.00208
                     82,                 1.0944,                0.80497,                 1.3272,                0.92404,                0.71563,                0.83288,                0.61604,                  1.002,                0.89268,                 1.1063,               0.001981,               0.001981,               0.001981
                     83,                 1.0532,                0.73484,                 1.2966,                0.91911,                0.72059,                0.83333,                0.62372,                 1.0292,                0.90044,                 1.1237,               0.001882,               0.001882,               0.001882
                     84,                 1.0509,                0.74995,                 1.2947,                 0.8728,                0.75678,                0.84391,                0.65782,                0.93008,                0.85038,                 1.0846,               0.001783,               0.001783,               0.001783
                     85,                 1.0797,                0.78636,                 1.3237,                 0.9167,                0.72829,                0.83384,                0.63506,                0.98913,                0.88076,                 1.0925,               0.001684,               0.001684,               0.001684
                     86,                 1.0563,                0.74345,                 1.3035,                0.89568,                0.75761,                0.83529,                0.65408,                0.97179,                0.84719,                 1.1146,               0.001585,               0.001585,               0.001585
                     87,                 1.0434,                0.73887,                 1.2911,                0.91647,                0.72605,                0.84545,                0.66055,                0.91658,                 0.8156,                 1.0695,               0.001486,               0.001486,               0.001486
                     88,                  1.039,                0.71989,                 1.2852,                0.87362,                0.78676,                0.85444,                 0.6404,                0.96672,                0.80943,                 1.0787,               0.001387,               0.001387,               0.001387
                     89,                 1.0187,                0.71976,                 1.2726,                0.90042,                0.74265,                0.83867,                0.64245,                0.96536,                0.83612,                 1.0688,               0.001288,               0.001288,               0.001288
                     90,                0.90352,                0.65512,                    1.2,                0.89732,                0.74265,                0.83068,                0.61832,                 0.9817,                0.85656,                  1.094,               0.001189,               0.001189,               0.001189
                     91,                0.85381,                0.58779,                 1.1599,                0.89021,                0.77505,                0.84583,                0.63661,                0.97762,                0.79442,                 1.0766,                0.00109,                0.00109,                0.00109
                     92,                0.87526,                0.58426,                 1.1645,                0.90537,                0.74265,                0.84352,                0.64218,                0.94716,                0.81195,                 1.0769,               0.000991,               0.000991,               0.000991
                     93,                0.85473,                0.59068,                  1.171,                0.96889,                0.67647,                0.84101,                0.65024,                0.91502,                0.78984,                 1.0619,               0.000892,               0.000892,               0.000892
                     94,                0.84769,                0.57863,                 1.1692,                0.93771,                0.69853,                0.83441,                0.63897,                0.95773,                0.82104,                 1.0809,               0.000793,               0.000793,               0.000793
                     95,                0.84247,                0.56954,                 1.1612,                0.89073,                0.77918,                0.84389,                0.64875,                0.93648,                 0.7961,                 1.0838,               0.000694,               0.000694,               0.000694
                     96,                0.83415,                0.56991,                 1.1425,                 0.9017,                   0.75,                0.84583,                 0.6583,                0.90941,                0.77877,                 1.0675,               0.000595,               0.000595,               0.000595
                     97,                 0.8077,                0.55792,                  1.136,                 0.8745,                0.76855,                0.84487,                0.65479,                0.92641,                0.79617,                 1.0606,               0.000496,               0.000496,               0.000496
                     98,                0.82428,                0.58227,                  1.144,                  0.885,                0.79224,                0.84713,                0.63602,                0.95351,                0.80679,                 1.0754,               0.000397,               0.000397,               0.000397
                     99,                0.83461,                0.57951,                 1.1337,                0.89644,                 0.7638,                0.84299,                0.65565,                0.91636,                0.78914,                 1.0655,               0.000298,               0.000298,               0.000298
